MyUnknownColumn,Age,Sex,Job,Housing,"Saving accounts","Checking account","Credit amount",Duration,Purpose,Risk
0,67,male,2,own,NA,little,1169,6,radio/TV,good
1,22,female,2,own,little,moderate,5951,48,radio/TV,bad
2,49,male,1,own,little,NA,2096,12,education,good
3,45,male,2,free,little,little,7882,42,furniture/equipment,good
4,53,male,2,free,little,little,4870,24,car,bad
5,35,male,1,free,NA,NA,9055,36,education,good
6,53,male,2,own,"quite rich",NA,2835,24,furniture/equipment,good
7,35,male,3,rent,little,moderate,6948,36,car,good
8,61,male,1,own,rich,NA,3059,12,radio/TV,good
9,28,male,3,own,little,moderate,5234,30,car,bad
10,25,female,2,rent,little,moderate,1295,12,car,bad
11,24,female,2,rent,little,little,4308,48,business,bad
12,22,female,2,own,little,moderate,1567,12,radio/TV,good
13,60,male,1,own,little,little,1199,24,car,bad
14,28,female,2,rent,little,little,1403,15,car,good
15,32,female,1,own,moderate,little,1282,24,radio/TV,bad
16,53,male,2,own,NA,NA,2424,24,radio/TV,good
17,25,male,2,own,NA,little,8072,30,business,good
18,44,female,3,free,little,moderate,12579,24,car,bad
19,31,male,2,own,"quite rich",NA,3430,24,radio/TV,good
20,48,male,2,own,little,NA,2134,9,car,good
21,44,male,2,rent,"quite rich",little,2647,6,radio/TV,good
22,48,male,1,rent,little,little,2241,10,car,good
23,44,male,2,own,moderate,moderate,1804,12,car,good
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,good
25,36,male,1,own,little,little,1374,6,furniture/equipment,good
26,39,male,1,own,little,NA,426,6,radio/TV,good
27,42,female,2,rent,rich,rich,409,12,radio/TV,good
28,34,male,2,own,little,moderate,2415,7,radio/TV,good
29,63,male,2,own,little,little,6836,60,business,bad
30,36,male,2,own,rich,moderate,1913,18,business,good
31,27,male,2,own,little,little,4020,24,furniture/equipment,good
32,30,male,2,own,moderate,moderate,5866,18,car,good
33,57,male,1,rent,NA,NA,1264,12,business,good
34,33,female,3,own,little,rich,1474,12,furniture/equipment,good
35,25,male,1,own,little,moderate,4746,45,radio/TV,bad
36,31,male,2,free,little,NA,6110,48,education,good
37,37,male,2,own,little,rich,2100,18,radio/TV,bad
